Number_of_Cities,CountryCode,Country,Region,Continent,Population,GNP,LifeExpectancy
1,ABW,Aruba,Caribbean,"North America",103000,828.00,78.4
4,AFG,Afghanistan,"Southern and Central Asia",Asia,22720000,5976.00,45.9
5,AGO,Angola,"Central Africa",Africa,12878000,6648.00,38.3
2,AIA,Anguilla,Caribbean,"North America",8000,63.20,76.1
1,ALB,Albania,"Southern Europe",Europe,3401200,3205.00,71.6
1,AND,Andorra,"Southern Europe",Europe,78000,1630.00,83.5
1,ANT,"Netherlands Antilles",Caribbean,"North America",217000,1941.00,74.7
5,ARE,"United Arab Emirates","Middle East",Asia,2441000,37966.00,74.1
57,ARG,Argentina,"South America","South America",37032000,340238.00,75.1
3,ARM,Armenia,"Middle East",Asia,3520000,1813.00,66.4
2,ASM,"American Samoa",Polynesia,Oceania,68000,334.00,75.1
1,ATG,"Antigua and Barbuda",Caribbean,"North America",68000,612.00,70.5
14,AUS,Australia,"Australia and New Zealand",Oceania,18886000,351182.00,79.8
6,AUT,Austria,"Western Europe",Europe,8091800,211860.00,77.7
4,AZE,Azerbaijan,"Middle East",Asia,7734000,4127.00,62.9
1,BDI,Burundi,"Eastern Africa",Africa,6695000,903.00,46.2
9,BEL,Belgium,"Western Europe",Europe,10239000,249704.00,77.8
4,BEN,Benin,"Western Africa",Africa,6097000,2357.00,50.2
3,BFA,"Burkina Faso","Western Africa",Africa,11937000,2425.00,46.7
24,BGD,Bangladesh,"Southern and Central Asia",Asia,129155000,32852.00,60.2
10,BGR,Bulgaria,"Eastern Europe",Europe,8190900,12178.00,70.9
1,BHR,Bahrain,"Middle East",Asia,617000,6366.00,73.0
1,BHS,Bahamas,Caribbean,"North America",307000,3527.00,71.1
3,BIH,"Bosnia and Herzegovina","Southern Europe",Europe,3972000,2841.00,71.5
16,BLR,Belarus,"Eastern Europe",Europe,10236000,13714.00,68.0
2,BLZ,Belize,"Central America","North America",241000,630.00,70.9
2,BMU,Bermuda,"North America","North America",65000,2328.00,76.9
8,BOL,Bolivia,"South America","South America",8329000,8571.00,63.7
250,BRA,Brazil,"South America","South America",170115000,776739.00,62.9
1,BRB,Barbados,Caribbean,"North America",270000,2223.00,73.0
1,BRN,Brunei,"Southeast Asia",Asia,328000,11705.00,73.6
1,BTN,Bhutan,"Southern and Central Asia",Asia,2124000,372.00,52.4
2,BWA,Botswana,"Southern Africa",Africa,1622000,4834.00,39.3
1,CAF,"Central African Republic","Central Africa",Africa,3615000,1054.00,44.0
49,CAN,Canada,"North America","North America",31147000,598862.00,79.4
5,CHE,Switzerland,"Western Europe",Europe,7160400,264478.00,79.6
29,CHL,Chile,"South America","South America",15211000,72949.00,75.7
363,CHN,China,"Eastern Asia",Asia,1277558000,982268.00,71.4
5,CIV,"Côte d’Ivoire","Western Africa",Africa,14786000,11345.00,45.2
7,CMR,Cameroon,"Central Africa",Africa,15085000,9174.00,54.8
18,COD,"Congo, The Democratic Republic of the","Central Africa",Africa,51654000,6964.00,48.8
2,COG,Congo,"Central Africa",Africa,2943000,2108.00,47.4
1,COK,"Cook Islands",Polynesia,Oceania,20000,100.00,71.1
38,COL,Colombia,"South America","South America",42321000,102896.00,70.3
1,COM,Comoros,"Eastern Africa",Africa,578000,4401.00,60.0
1,CPV,"Cape Verde","Western Africa",Africa,428000,435.00,68.9
1,CRI,"Costa Rica","Central America","North America",4023000,10226.00,75.8
14,CUB,Cuba,Caribbean,"North America",11201000,17843.00,76.2
1,CYM,"Cayman Islands",Caribbean,"North America",38000,1263.00,78.9
2,CYP,Cyprus,"Middle East",Asia,754700,9333.00,76.7
10,CZE,"Czech Republic","Eastern Europe",Europe,10278100,55017.00,74.5
93,DEU,Germany,"Western Europe",Europe,82164700,2133367.00,77.4
1,DJI,Djibouti,"Eastern Africa",Africa,638000,382.00,50.8
1,DMA,Dominica,Caribbean,"North America",71000,256.00,73.4
5,DNK,Denmark,"Nordic Countries",Europe,5330000,174099.00,76.5
6,DOM,"Dominican Republic",Caribbean,"North America",8495000,15846.00,73.2
18,DZA,Algeria,"Northern Africa",Africa,31471000,49982.00,69.7
15,ECU,Ecuador,"South America","South America",12646000,19770.00,71.1
37,EGY,Egypt,"Northern Africa",Africa,68470000,82710.00,63.3
1,ERI,Eritrea,"Eastern Africa",Africa,3850000,650.00,55.8
1,ESH,"Western Sahara","Northern Africa",Africa,293000,60.00,49.8
59,ESP,Spain,"Southern Europe",Europe,39441700,553233.00,78.8
